date,new_cases,new_deaths,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,population,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population,location
2022-04-17,822438.0,852.0,283424.0,18.82,0.9057142857142857,1635.5714285714287,24747.0,130462.7755102041,113.87755102040816,1.0,67813000,26826921.0,144988.0,54436504.0,52814627.0,37076792.0,173.25755070140366,0.17948518088609222,38520.599505783764,212.7287014078632,59.707051534577225,2.4118847839963258,36.493002816569096,38.520599505783764,0.21272870140786324,80.26934932408662,77.87298811226673,54.55086551040572,France
2022-04-24,539161.0,889.0,236513.0,18.82,0.7957142857142857,1656.857142857143,25010.714285714286,111709.97959183673,122.46938775510203,1.0,67813000,27366082.0,145877.0,54445057.0,52830756.0,37288653.0,113.58146668043001,0.1872797251264507,39673.72627667261,213.99289221830622,49.824622754591935,2.4432736243156077,36.88188737515562,39.67372627667262,0.21399289221830622,80.28180795506971,77.89677979991195,54.86193376322702,France
2022-05-01,376510.0,867.0,278122.0,18.82,0.7328571428571429,1617.5714285714287,24064.571428571428,73703.59183673469,126.55102040816327,1.0,67813000,27742592.0,146744.0,54454985.0,52852013.0,37535613.0,79.31686086317204,0.1826451312538051,40434.53193761837,215.2992157003187,58.59011441126965,2.3853412009075377,35.486663956131466,40.43453193761837,0.2152992157003187,80.29626220004171,77.924752312557,55.227329989403636,France
2022-05-08,264928.0,749.0,263555.0,18.82,0.7314285714285714,1447.0,21919.714285714286,51509.95918367347,121.44897959183673,1.0,67813000,28007520.0,147493.0,54466833.0,52870437.0,37768921.0,55.81062206782939,0.15778685502779702,40966.24372486522,216.5528733428694,55.52138127750474,2.1338091516375917,32.32376430140871,40.96624372486523,0.21655287334286938,80.31329854579084,77.95556814854295,55.575689869831116,France
2022-05-15,216715.0,614.0,266871.0,18.81,0.7757142857142857,1289.2857142857142,19765.14285714286,36862.91836734694,104.24489795918366,1.0,67813000,28224235.0,148107.0,54477057.0,52887307.0,38008720.0,45.65390959592661,0.129347301718381,41346.76136686814,217.62894177475454,56.21994097212713,1.9012368045739227,29.146539538352318,41.34676136686814,0.21762894177475453,80.32876439620722,77.98113025104752,55.927481877684635,France
2022-05-22,162239.0,466.0,258074.0,18.81,0.8200000000000001,1128.142857142857,17637.571428571428,29847.5306122449,84.69387755102039,1.0,67813000,28386474.0,148573.0,54486393.0,52902459.0,38242328.0,34.17781251382478,0.09816912475694715,41654.862636957514,218.5031947098218,54.36673541314245,1.6636085369219134,26.009130149929113,41.65486263695751,0.21850319470982177,80.34288157980666,78.00404747509432,56.27444906265339,France
2022-05-29,113355.0,300.0,178696.0,18.81,0.8428571428571427,1040.2857142857142,16078.857142857143,22179.367346938776,63.183673469387756,1.0,67813000,28499829.0,148873.0,54493357.0,52914681.0,38401848.0,23.879744928806314,0.06319900735425783,41883.80925696927,219.1554084657177,37.64469939392152,1.5340505718456847,23.710582252454753,41.88380925696928,0.2191554084657177,80.35497492052725,78.02441293388752,56.5630778759235,France
2022-06-05,148073.0,329.0,246342.0,18.81,0.96,935.2857142857143,14724.857142857143,16902.102040816328,43.44897959183673,1.0,67813000,28647902.0,149202.0,54501990.0,52929820.0,38624437.0,31.19355538655673,0.06930824473183608,42058.28128192866,219.60391075457508,51.89523289887527,1.379213003827753,21.7139149467759,42.058281281928664,0.21960391075457508,80.36630502790237,78.0445066369491,56.84167068682574,France
2022-06-12,193813.0,237.0,237406.0,18.81,0.9942857142857143,884.0,14156.142857142857,22086.755102040817,45.12244897959183,1.0,67813000,28841715.0,149439.0,54510063.0,52944325.0,38839290.0,40.82929737450257,0.04992721580986368,42286.271911622505,220.06968743877596,50.01274513314978,1.3035848583604914,20.8752641191849,42.28627191162251,0.22006968743877597,80.37846283161046,78.0656580807304,57.14646643816714,France
2022-06-19,297927.0,265.0,275311.0,18.81,1.1199999999999999,845.1428571428571,13960.57142857143,29812.34693877551,34.42857142857142,1.0,67813000,29139642.0,149704.0,54517789.0,52958224.0,39093007.0,62.7623022134399,0.05582578982959441,42594.00999808296,220.42507652346472,57.99793971236024,1.2462844250259641,20.586865982291638,42.59400999808297,0.22042507652346474,80.39023111876989,78.0871455325675,57.51830390717329,France
2022-06-26,456705.0,291.0,345716.0,18.81,1.3471428571428572,835.1428571428571,14455.285714285714,45801.36734693877,38.387755102040806,1.0,67813000,29596347.0,149995.0,54525433.0,52972698.0,39416628.0,96.21100884575439,0.0613030371336301,43066.79482020936,220.82133429957594,72.82969342161532,1.2315379899766374,21.316393190517623,43.06679482020935,0.22082133429957593,80.4013933274488,78.1077903309732,57.946504357571555,France
2022-07-03,731586.0,264.0,574992.0,18.81,1.3942857142857144,926.7142857142857,15818.142857142857,70853.38775510204,41.0204081632653,1.0,67813000,30327933.0,150259.0,54534681.0,52989312.0,39965766.0,154.1183633142402,0.055615126471746885,43798.17923659813,221.2447676488495,121.1297454554647,1.3665732023569017,23.326121624383017,43.79817923659812,0.22124476764884946,80.41399373487174,78.13098183871192,58.63491239564264,France
2022-07-10,903969.0,424.0,746446.0,18.8,1.2442857142857144,1022.2857142857143,17539.0,108030.30612244898,40.9795918367347,1.0,67813000,31231902.0,150683.0,54545052.0,53006943.0,40684233.0,190.43314493007028,0.08932126372735105,44913.32256141363,221.6677796714073,157.24882081185447,1.5075069887568966,25.863772433014322,44.91332256141363,0.22166777967140727,80.42940944740894,78.15760779117363,59.63006313580835,France
2022-07-17,683784.0,585.0,542940.0,18.8,1.0385714285714287,1181.857142857143,19583.85714285714,124644.85714285714,63.857142857142854,1.0,67813000,31915686.0,151268.0,54552623.0,53019862.0,41206713.0,144.04823348241277,0.12323806434080276,46199.96966447647,222.32694531811222,114.3775635097358,1.7428179594725834,28.879207737243807,46.19996966447646,0.22232694531811223,80.44226833877197,78.17939796625595,60.55477879294109,France
2022-07-24,522296.0,731.0,543245.0,18.8,0.9442857142857143,1293.2857142857142,20799.14285714286,94387.75510204081,86.55102040816327,1.0,67813000,32437982.0,151999.0,54560201.0,53033114.0,41729157.0,110.0286291503315,0.15399491458654158,47174.28769452127,223.22036861874355,114.4418158338793,1.9071353785936533,30.67132092245271,47.17428769452128,0.22322036861874353,80.45296498143001,78.19816596480658,61.2841349425205,France
2022-07-31,329431.0,597.0,419433.0,18.8,0.7514285714285714,1235.2857142857142,20498.571428571428,70677.69387755102,101.6938775510204,1.0,67813000,32767413.0,152596.0,54566822.0,53044264.0,42130853.0,69.39904063906836,0.12576602463497308,47903.85851006233,224.27010413089778,88.3591641720614,1.8216060553075581,30.22808521754152,47.903858510062335,0.2242701041308978,80.46332287740867,78.21584188451014,61.94093189042978,France
2022-08-07,212195.0,529.0,275928.0,11.11,0.6857142857142857,1160.2857142857142,19223.285714285714,44669.0,83.89795918367348,1.0,67813000,32979608.0,153125.0,54571782.0,53052147.0,42393966.0,44.7017112184558,0.11144091630134127,48364.9544651152,225.13614119500895,58.12791900415217,1.7110077924376068,28.347493422036653,48.364954465115204,0.22513614119500897,80.47165798382527,78.22941408200282,62.39321579722388,France
