date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population
2021-04-03,France,67813000,0.0,4090242.0,0.0,98071.0,9611723.0,3181831.0,137.0,203724.0,68.52,1.08,5273.0,28886.0,31994.85714285714,262.0,1.0,0.0,0.0,6031.648798902866,144.6197631722531,300.4202733989058,7.775795201510035,42.596552283485465,6.031648798902865,0.1446197631722531,14.173864893162078,4.692066417943462,0.00020202616017577751
2021-04-04,France,67813000,242407.0,4332649.0,1959.0,100030.0,9658275.0,3200853.0,139.0,65576.0,68.52,1.09,5341.0,29356.0,34629.57142857143,279.85714285714283,1.0,357.46390810021677,2.8888266261631252,6389.112707003082,147.50858979841624,96.7012224794656,7.876070959845458,43.289634730803826,6.389112707003082,0.14750858979841625,14.242512497603704,4.720117086694291,0.00020497544718564285
2021-04-05,France,67813000,0.0,4332649.0,0.0,100030.0,9721648.0,3211255.0,150.0,73786.0,71.3,1.07,5433.0,29907.0,34629.57142857143,279.85714285714283,1.0,0.0,0.0,6389.112707003082,147.50858979841624,108.80804565496292,8.011738162299263,44.10216330202174,6.389112707003082,0.14750858979841625,14.335965080441804,4.735456328432601,0.00022119652573990238
2021-04-06,France,67813000,0.0,4332649.0,0.0,100030.0,9938924.0,3324412.0,167.0,330450.0,75.0,1.06,5626.0,30639.0,34629.57142857143,279.85714285714283,1.0,0.0,0.0,6389.112707003082,147.50858979841624,487.29594620500495,8.296344358751272,45.181602347632456,6.389112707003082,0.14750858979841625,14.656369722619555,4.902322563520269,0.000246265465323758
2021-04-07,France,67813000,0.0,4332649.0,0.0,100030.0,10199249.0,3439704.0,184.0,375634.0,75.0,1.07,5729.0,30904.0,34629.57142857143,279.85714285714283,1.0,0.0,0.0,6389.112707003082,147.50858979841624,553.9262383318833,8.448232639759338,45.57238287643962,6.389112707003082,0.14750858979841625,15.040256293041157,5.072337162490967,0.0002713344049076136
2021-04-08,France,67813000,0.0,4332649.0,0.0,100030.0,10537166.0,3562936.0,199.0,461164.0,75.0,1.1,5705.0,30555.0,34629.57142857143,279.85714285714283,1.0,0.0,0.0,6389.112707003082,147.50858979841624,680.0524973087756,8.412841195640954,45.05773229321811,6.389112707003082,0.14750858979841625,15.538563402297495,5.254060430890832,0.00029345405748160385
2021-04-09,France,67813000,0.0,4332649.0,0.0,100030.0,10947411.0,3679818.0,249.0,527177.0,75.0,1.1,5757.0,30326.0,34629.57142857143,279.85714285714283,1.0,0.0,0.0,6389.112707003082,147.50858979841624,777.3981389998968,8.489522657897453,44.72003893058853,6.389112707003082,0.14750858979841625,16.143528526978603,5.426419713034374,0.0003671862327282379
2021-04-10,France,67813000,0.0,4332649.0,0.0,100030.0,11160077.0,3762696.0,264.0,295559.0,75.0,1.12,5769.0,30238.0,34629.57142857143,279.85714285714283,1.0,0.0,0.0,6389.112707003082,147.50858979841624,435.84415967439867,8.507218379956646,44.59027030215445,6.389112707003082,0.14750858979841625,16.457135062598617,5.548635217436185,0.0003893058853022282
2021-04-11,France,67813000,203218.0,4535867.0,2120.0,102150.0,11216239.0,3796875.0,271.0,90348.0,75.0,1.15,5838.0,30671.0,29031.14285714286,302.85714285714283,1.0,299.67410378540984,3.126244230457287,6688.7868107884915,150.6348340288735,133.231091383658,8.608968781797,45.22879093979031,6.688786810788491,0.1506348340288735,16.539953991122648,5.599037057791279,0.000399628389836757
2021-04-12,France,67813000,0.0,4535867.0,0.0,102150.0,11453369.0,3912706.0,317.0,353007.0,75.0,1.12,5916.0,31262.0,29031.14285714286,302.85714285714283,1.0,0.0,0.0,6688.7868107884915,150.6348340288735,520.5594797457715,8.72399097518175,46.100305251205526,6.688786810788491,0.1506348340288735,16.889636205447335,5.769846489611137,0.00046746199106366035
