date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population,new_cases_7d_avg_per_100k,new_deaths_7d_avg_per_100k,population_for_sir,incidence_for_sir,I_estimated,cumulative_infections_estimated,R_estimated,S_estimated,gamma,dI_dt,denominator_SI_over_N,valid_beta_mask,beta_raw,beta_smoothed,beta_smoothed_nonnegative,R0_proxy_raw,R_eff_raw,R0_proxy_smoothed,R_eff_smoothed
2023-03-31,France,67813000,0.0,38588428.0,0.0,165869.0,54670602.0,53182452.0,47638474.0,3097.0,,,709.0,13149.0,7799.0,24.0,0.7777777777777778,0.0,0.0,56904.17471576247,244.59764351967914,4.566970934776518,1.0455222449972719,19.390087446359843,56.904174715762466,0.24459764351967914,80.61964815005972,78.42515741819415,70.24976626900447,11.500744694969992,0.03539144411838438,67813000.0,7799.0,98220.57142857142,38580629.00000009,38482408.428571515,29232370.999999918,0.07142857142857142,2677.4285714285725,42340.26195319469,True,0.22893537324319765,0.23526743857205829,0.23526743857205829,3.2050952254047673,1.3816308483529784,3.2937441400088163,1.4198450249924557
2023-04-01,France,67813000,0.0,38588428.0,0.0,165869.0,54670711.0,53182650.0,47639505.0,1336.0,,,,,7799.0,24.0,0.5555555555555556,0.0,0.0,56904.17471576247,244.59764351967914,1.9701237225900639,,,56.904174715762466,0.24459764351967914,80.61980888620177,78.42544939760813,70.25128662645805,11.500744694969992,0.03539144411838438,67813000.0,7799.0,100898.0,38588428.00000009,38487530.00000009,29224571.99999991,0.07142857142857142,2122.7857142857174,43482.82579528986,True,0.21456254380082948,0.23085702992797605,0.23085702992797605,3.003875613211613,1.2945449860254916,3.231998418991665,1.392856391837963
2023-04-02,France,67813000,57282.0,38645710.0,210.0,166079.0,54670721.0,53182676.0,47639570.0,101.0,,,,,8183.142857142857,30.0,0.5555555555555556,84.47052924955392,0.30967513603586333,56988.64524501201,244.907318655715,0.14893899399820093,,,56.988645245012016,0.244907318655715,80.61982363263681,78.42548773833926,70.25138247828588,12.06721846422199,0.044239305147980475,67813000.0,8183.142857142857,102466.14285714286,38596611.14285723,38494145.00000009,29216388.85714276,0.07142857142857142,1568.142857142855,44146.265087900945,True,0.20131155021900518,0.22553067239207017,0.22553067239207017,2.818361703066073,1.2142561375673913,3.1574294134889827,1.360339249605154
2023-04-03,France,67813000,0.0,38645710.0,0.0,166079.0,54670905.0,53182891.0,47640998.0,1827.0,,,,,8183.142857142857,30.0,0.5555555555555556,0.0,0.0,56988.64524501201,244.907318655715,2.6941736835120107,,,56.988645245012016,0.244907318655715,80.62009496704172,78.42580478669282,70.25348826921092,12.06721846422199,0.044239305147980475,67813000.0,8183.142857142857,104034.28571428571,38604794.28571437,38500760.00000009,29208205.714285627,0.07142857142857142,1568.1428571428623,44809.32591806325,True,0.2008323731930643,0.22044644155698617,0.22044644155698617,2.8116532247029005,1.2110265846424264,3.0862501817978067,1.329300137078462
2023-04-04,France,67813000,0.0,38645710.0,0.0,166079.0,54671036.0,53183148.0,47642771.0,2161.0,,,,,8183.142857142857,30.0,0.5555555555555556,0.0,0.0,56988.64524501201,244.907318655715,3.186704614159527,,,56.988645245012016,0.244907318655715,80.62028814534087,78.42618377007359,70.25610281214516,12.06721846422199,0.044239305147980475,67813000.0,8183.142857142857,105602.42857142858,38612977.428571515,38507375.00000009,29200022.571428478,0.07142857142857142,1568.1428571428623,45472.00828577674,True,0.20036883816802212,0.21558775269701816,0.21558775269701816,2.80516373435231,1.2078929461849504,3.0182285377582545,1.299637848617088
2023-04-05,France,67813000,0.0,38645710.0,0.0,166079.0,54671137.0,53183347.0,47644025.0,1554.0,,,,,8183.142857142857,30.0,0.5555555555555556,0.0,0.0,56988.64524501201,244.907318655715,2.2915960066653884,,,56.988645245012016,0.244907318655715,80.62043708433487,78.42647722413106,70.25795201510034,12.06721846422199,0.044239305147980475,67813000.0,8183.142857142857,107170.57142857143,38621160.57142866,38513990.00000008,29191839.42857135,0.07142857142857142,1568.142857142855,46134.31219104145,True,0.19992025968169483,0.21093955061689781,0.21093955061689781,2.798883635543728,1.2048510118715958,2.9531537086365693,1.271260508610572
2023-04-06,France,67813000,0.0,38645710.0,0.0,166079.0,54671290.0,53183531.0,47645504.0,1816.0,,,,,8183.142857142857,30.0,0.5555555555555556,0.0,0.0,56988.64524501201,244.907318655715,2.6779526049577513,,,56.988645245012016,0.244907318655715,80.62066270479112,78.42674855853598,70.26013301284415,12.06721846422199,0.044239305147980475,67813000.0,8183.142857142857,108738.71428571429,38629343.7142858,38520605.00000008,29183656.2857142,0.07142857142857142,1568.142857142855,46796.23763385732,True,0.1994859918139435,0.206488132874251,0.206488132874251,2.7928038853952093,1.2018968142506739,2.890833860239514,1.244084493479633
2023-04-07,France,67813000,0.0,38645710.0,0.0,166079.0,54671484.0,53183839.0,47647351.0,2349.0,,,,,8183.142857142857,30.0,0.5555555555555556,0.0,0.0,56988.64524501201,244.907318655715,3.4639375930868717,,,56.988645245012016,0.244907318655715,80.62094878563107,78.4272027487355,70.26285667939776,12.06721846422199,0.044239305147980475,67813000.0,8183.142857142857,110306.85714285714,38637526.85714294,38527220.00000008,29175473.142857067,0.07142857142857142,1568.142857142855,47457.78461422441,True,0.1990654253759891,0.2022209974646498,0.2022209974646498,2.7869159552638476,1.1990266114786285,2.831093964505097,1.218033502813962
2023-04-08,France,67813000,0.0,38645710.0,0.0,166079.0,54671551.0,53183981.0,47647990.0,848.0,,,,,8183.142857142857,30.0,0.5555555555555556,0.0,0.0,56988.64524501201,244.907318655715,1.2504976921829147,,,56.988645245012016,0.244907318655715,80.6210475867459,78.42741214811319,70.2637989765974,12.06721846422199,0.044239305147980475,67813000.0,8183.142857142857,111875.0,38645710.00000008,38533835.00000008,29167289.999999918,0.07142857142857142,837.7142857142826,48118.95313214267,True,0.18347834147680628,0.19778039713264647,0.19778039713264647,2.568696780675288,1.1048312849162008,2.768925559857051,1.1909523954516499
2023-04-09,France,67813000,55344.0,38701054.0,188.0,166267.0,54671560.0,53184000.0,47648024.0,62.0,,,,,7906.285714285715,26.857142857142858,0.5555555555555556,81.61267013699438,0.27723297892734433,57070.25791514901,245.18455163464233,0.09142789730582632,,,57.070257915149014,0.24518455163464234,80.62106085853745,78.42744016633979,70.26384911447657,11.658952876713483,0.0396047112753349,67813000.0,7906.285714285715,111982.28571428571,38653616.285714366,38541634.00000008,29159383.714285634,0.07142857142857142,107.2857142857174,48152.042209393825,True,0.1683421935234533,0.19307048903328192,0.19307048903328192,2.3567907093283464,1.0134128357036065,2.702986846465947,1.1622761215514343
